M15, stop 1.0xATR, TP 2.0R, horizon 96 bars

=== BTCUSD
  atom                    dir   fires       n   P(2R)    lift     expR  liftExp
  session_ny             SELL   21.9%    3360   34.0%   +1.2%   -0.506   +0.036
  premium                SELL   44.8%    6868   33.8%   +1.0%   -0.513   +0.030
  wick_reject            SELL   20.2%    3094   33.3%   +0.5%   -0.529   +0.014
  session_ny              BUY   21.9%    3360   32.2%   +0.3%   -0.561   +0.008
  volspike                BUY   10.8%    1647   32.2%   +0.2%   -0.562   +0.006
  bos                     BUY   12.5%    1915   32.1%   +0.1%   -0.564   +0.004
  session_asia            BUY   34.5%    5288   32.0%   +0.0%   -0.568   +0.000
  _BASELINE               BUY  100.0%   15319   32.0%   +0.0%   -0.569   +0.000
  _BASELINE              SELL  100.0%   15319   32.8%   +0.0%   -0.543   +0.000
  fvg                     BUY    7.0%    1075   31.9%   -0.1%   -0.571   -0.002
  retest                 SELL   22.2%    3400   32.4%   -0.4%   -0.555   -0.012
  volspike               SELL   11.6%    1778   32.3%   -0.5%   -0.558   -0.015
  retest                  BUY   24.5%    3750   31.2%   -0.7%   -0.591   -0.022
  sweep_high             SELL    5.5%     845   31.8%   -1.0%   -0.573   -0.030
  session_asia           SELL   34.5%    5288   31.7%   -1.2%   -0.578   -0.035
  wick_reject             BUY   20.8%    3182   30.7%   -1.3%   -0.608   -0.039
  htf_aligned            SELL   35.9%    5495   31.4%   -1.4%   -0.585   -0.042
  bos                    SELL   11.4%    1745   31.2%   -1.6%   -0.591   -0.048
  fvg                    SELL    6.5%     989   31.1%   -1.7%   -0.594   -0.051
  htf_aligned             BUY   59.4%    9097   30.2%   -1.8%   -0.623   -0.054
  session_london         SELL   21.8%    3347   31.0%   -1.9%   -0.599   -0.056
  displacement            BUY    5.0%     767   30.0%   -2.0%   -0.628   -0.060

=== Hong Kong 50
  atom                    dir   fires       n   P(2R)    lift     expR  liftExp
  session_london          BUY   21.9%    3200   35.1%   +3.0%   -0.489   +0.089
  sweep_high             SELL    5.5%     802   35.5%   +2.5%   -0.475   +0.076
  sweep_low               BUY    5.8%     852   34.0%   +1.9%   -0.520   +0.058
  discount                BUY   40.8%    5944   33.7%   +1.6%   -0.531   +0.047
  premium                SELL   38.6%    5627   34.3%   +1.3%   -0.513   +0.038
  wick_reject            SELL   20.3%    2962   33.6%   +0.6%   -0.533   +0.018
  session_ny             SELL   21.9%    3200   33.6%   +0.6%   -0.533   +0.018
  htf_aligned            SELL   50.1%    7311   33.6%   +0.6%   -0.533   +0.018
  displacement           SELL    4.9%     710   33.2%   +0.2%   -0.544   +0.007
  volspike               SELL   11.5%    1673   33.2%   +0.2%   -0.544   +0.007
  htf_aligned             BUY   44.8%    6538   32.3%   +0.2%   -0.572   +0.007
  _BASELINE               BUY  100.0%   14583   32.1%   +0.0%   -0.578   +0.000
  _BASELINE              SELL  100.0%   14583   33.0%   +0.0%   -0.551   +0.000
  session_asia            BUY   34.7%    5064   32.1%   -0.0%   -0.579   -0.001
  wick_reject             BUY   21.1%    3074   32.0%   -0.1%   -0.581   -0.003
